10:54:18:588,48.5301,53.7102,96.2583
10:54:18:628,60.8934,50.4785,108.829
10:54:18:668,48.1262,53.3762,96.8384
10:54:18:708,48.5924,53.7602,95.9322
10:54:18:748,48.649,53.8015,95.9817
10:54:18:788,48.4312,53.7321,95.5676
10:54:18:828,48.4316,53.7914,96.21
10:54:18:868,48.0984,53.4882,96.9399
10:54:18:908,48.2551,53.6333,96.5987
10:54:18:948,49.1748,54.4381,96.3924
10:54:18:988,48.8975,54.0388,95.8038
10:54:19:028,49.4036,54.5327,97.1211
10:54:19:068,49.9694,55.1853,97.4729
10:54:19:108,50.1592,55.4723,97.3883
10:54:19:148,50.5345,55.7368,98.3056
10:54:19:188,50.9457,56.2887,97.755
10:54:19:229,51.0149,56.226,98.4299
10:54:19:269,51.5056,56.6818,97.6822
10:54:19:309,51.2319,56.4946,97.7416
10:54:19:349,51.3315,56.5109,98.1353
10:54:19:389,50.793,56.0544,98.8915
10:54:19:429,50.9353,56.142,98.7694
10:54:19:469,51.2072,56.3593,98.6795
10:54:19:509,50.9998,56.248,98.6166
10:54:19:549,51.1444,56.3375,97.9878
10:54:19:589,51.1203,56.2493,98.5583
10:54:19:629,50.8856,56.2258,98.49
10:54:19:669,51.1506,56.4246,98.301
10:54:19:709,51.134,56.3005,98.5249
10:54:19:749,50.8829,56.0329,99.3961
10:54:19:789,51.0703,56.3401,98.7613
10:54:19:829,51.0976,56.566,97.9429
10:54:19:869,51.3746,56.6661,98.0185
10:54:19:909,51.4495,56.7276,98.3995
10:54:19:949,51.0606,56.3805,98.8214
10:54:19:989,51.3866,56.5763,98.7969
10:54:20:029,51.3184,56.6351,98.3174
10:54:20:068,51.3931,56.6886,98.3492
10:54:20:108,51.6388,56.9261,98.033
10:54:20:148,51.0891,56.3766,99.4565
10:54:20:188,51.3519,56.5328,99.1815
10:54:20:228,51.432,56.6302,99.0496
10:54:20:268,51.3689,56.5755,99.0396
10:54:20:308,51.2061,56.6272,99.818
10:54:20:348,51.2245,56.6565,98.9077
10:54:20:388,51.379,56.7132,99.546
10:54:20:428,51.5343,56.8501,99.4253
10:54:20:468,51.4443,56.875,98.966
10:54:20:508,51.3065,56.6271,99.7747
10:54:20:548,51.4705,56.9006,99.2624
10:54:20:588,51.2377,56.6639,99.8249
10:54:20:628,51.6088,56.8089,99.6134
10:54:20:668,51.2672,56.6195,100.022
10:54:20:708,51.5196,56.5956,99.5996
10:54:20:749,51.3999,56.6831,99.6538
10:54:20:789,51.2138,56.5621,99.8138
10:54:20:829,51.576,56.722,99.4124
10:54:20:869,51.3608,56.6398,99.6018
10:54:20:909,51.4573,56.7497,99.2044
10:54:20:949,51.474,56.6949,99.8445
10:54:20:989,51.4393,56.7364,99.1864
10:54:21:029,51.5845,56.8166,98.9956
10:54:21:069,51.5497,56.8061,99.4643
10:54:21:109,51.2069,56.6085,99.7662
10:54:21:149,51.7312,57.0243,99.0552
10:54:21:189,51.43,56.8259,99.2616
10:54:21:229,51.4386,56.86,99.5422
